case_id,task,perturbation,perturbation_name,text,gold_route,predicted_route,gold_department,predicted_department,gold_risk,predicted_risk,gold_red_flags,predicted_red_flags,acceptable_doc_ids,evidence_doc_ids,evidence_citation_ids,evidence_departments,evidence_scores,abstained,followup_missing,latency_ms,error
HR0028,high_risk,3,P3 否定与跨症状干扰,症状记录为开始没有便血，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.018,
HR0029,high_risk,3,P3 否定与跨症状干扰,今天突然有开始没有晕厥，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.017,
HR0030,high_risk,3,P3 否定与跨症状干扰,目前最明显的是开始没有意识不清，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.018,
HR0031,high_risk,3,P3 否定与跨症状干扰,刚刚发现开始没有大出血，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.017,
HR0032,high_risk,3,P3 否定与跨症状干扰,需要分诊，表现为开始没有胸痛，不过后来明确出现胸痛。,high_risk_fast_path,high_risk_fast_path,心血管内科,心血管内科,高,高,胸痛,胸痛,,,,,,False,,0.02,
HR0033,high_risk,4,P4 错别字与未登录改写,患者描述：胸口像被压住一样疼。,high_risk_fast_path,evidence_triage,心血管内科,心血管内科,高,中,胸痛,,,resp-ambient-air-pollution | card-angina-medlineplus | card-obesity-overweight,resp-ambient-air-pollution#2 | card-angina-medlineplus#1 | card-obesity-overweight#2,呼吸内科 | 心血管内科 | 心血管内科,0.539 | 0.5358 | 0.5329,False,,951.704,
HR0034,high_risk,4,P4 错别字与未登录改写,家属说刚才出现心口突然疼得厉害。,high_risk_fast_path,evidence_triage,心血管内科,消化内科,高,中,胸痛,,,gast-pancreatitis-niddk | resp-copd-nhlbi | gast-pancreatitis-medlineplus,gast-pancreatitis-niddk#1 | resp-copd-nhlbi#1 | gast-pancreatitis-medlineplus#1,消化内科 | 呼吸内科 | 消化内科,0.5564 | 0.5479 | 0.5413,False,,765.385,
HR0035,high_risk,4,P4 错别字与未登录改写,我现在主要是胸前区压榨样疼。,high_risk_fast_path,evidence_triage,心血管内科,心血管内科,高,中,胸痛,,,card-angina-medlineplus | card-cvd-warning-signs | card-angina-medlineplus,card-angina-medlineplus#0 | card-cvd-warning-signs#0 | card-angina-medlineplus#1,心血管内科 | 心血管内科 | 心血管内科,0.5473 | 0.5308 | 0.5265,False,,584.353,
HR0036,high_risk,4,P4 错别字与未登录改写,症状记录为胸口发紧并疼痛。,high_risk_fast_path,evidence_triage,心血管内科,心血管内科,高,中,胸痛,,,card-angina-medlineplus | resp-pulmonary-hypertension-nhlbi | card-angina-medlineplus,card-angina-medlineplus#0 | resp-pulmonary-hypertension-nhlbi#1 | card-angina-medlineplus#1,心血管内科 | 呼吸内科 | 心血管内科,0.5991 | 0.5945 | 0.5913,False,,222.123,
HR0037,high_risk,4,P4 错别字与未登录改写,今天突然有胸口像被压住一样疼。,high_risk_fast_path,evidence_triage,心血管内科,心血管内科,高,中,胸痛,,,card-angina-medlineplus | resp-copd-nhlbi | card-rheumatic-heart-disease,card-angina-medlineplus#1 | resp-copd-nhlbi#1 | card-rheumatic-heart-disease#2,心血管内科 | 呼吸内科 | 心血管内科,0.5631 | 0.5603 | 0.5567,False,,750.043,
HR0038,high_risk,4,P4 错别字与未登录改写,目前最明显的是心口突然疼得厉害。,high_risk_fast_path,evidence_triage,心血管内科,消化内科,高,中,胸痛,,,gast-pancreatitis-niddk | resp-copd-nhlbi | gast-pancreatitis-medlineplus,gast-pancreatitis-niddk#1 | resp-copd-nhlbi#1 | gast-pancreatitis-medlineplus#1,消化内科 | 呼吸内科 | 消化内科,0.5837 | 0.5751 | 0.5679,False,,756.141,
HR0039,high_risk,4,P4 错别字与未登录改写,刚刚发现胸前区压榨样疼。,high_risk_fast_path,evidence_triage,心血管内科,心血管内科,高,中,胸痛,,,card-cvd-warning-signs | card-angina-medlineplus | card-angina-medlineplus,card-cvd-warning-signs#0 | card-angina-medlineplus#1 | card-angina-medlineplus#0,心血管内科 | 心血管内科 | 心血管内科,0.5366 | 0.534 | 0.5239,False,,571.488,
HR0040,high_risk,4,P4 错别字与未登录改写,需要分诊，表现为胸口发紧并疼痛。,high_risk_fast_path,evidence_triage,心血管内科,呼吸内科,高,中,胸痛,,,resp-pulmonary-hypertension-nhlbi | card-cvd-warning-signs | resp-copd-medlineplus,resp-pulmonary-hypertension-nhlbi#1 | card-cvd-warning-signs#0 | resp-copd-medlineplus#1,呼吸内科 | 心血管内科 | 呼吸内科,0.6409 | 0.6264 | 0.6208,False,,388.472,
HR0041,high_risk,0,P0 规范表达,患者描述：呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.013,
HR0042,high_risk,0,P0 规范表达,家属说刚才出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.013,
HR0043,high_risk,0,P0 规范表达,我现在主要是呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.012,
HR0044,high_risk,0,P0 规范表达,症状记录为呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.012,
HR0045,high_risk,0,P0 规范表达,今天突然有呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.012,
HR0046,high_risk,0,P0 规范表达,目前最明显的是呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.012,
HR0047,high_risk,0,P0 规范表达,刚刚发现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.012,
HR0048,high_risk,0,P0 规范表达,需要分诊，表现为呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.014,
HR0049,high_risk,1,P1 口语与同义表达,患者描述：气短。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.011,
HR0050,high_risk,1,P1 口语与同义表达,家属说刚才出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.012,
HR0051,high_risk,1,P1 口语与同义表达,我现在主要是气短。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.011,
HR0052,high_risk,1,P1 口语与同义表达,症状记录为呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.013,
HR0053,high_risk,1,P1 口语与同义表达,今天突然有气短。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.011,
HR0054,high_risk,1,P1 口语与同义表达,目前最明显的是呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.011,
HR0055,high_risk,1,P1 口语与同义表达,刚刚发现气短。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.011,
HR0056,high_risk,1,P1 口语与同义表达,需要分诊，表现为呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.015,
HR0057,high_risk,2,P2 组合与背景干扰,患者描述：呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.014,
HR0058,high_risk,2,P2 组合与背景干扰,家属说刚才出现呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.022,
HR0059,high_risk,2,P2 组合与背景干扰,我现在主要是呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.015,
HR0060,high_risk,2,P2 组合与背景干扰,症状记录为呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.014,
HR0061,high_risk,2,P2 组合与背景干扰,今天突然有呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.014,
HR0062,high_risk,2,P2 组合与背景干扰,目前最明显的是呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.015,
HR0063,high_risk,2,P2 组合与背景干扰,刚刚发现呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.015,
HR0064,high_risk,2,P2 组合与背景干扰,需要分诊，表现为呼吸困难，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.017,
HR0065,high_risk,3,P3 否定与跨症状干扰,患者描述：开始没有气促，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.018,
HR0066,high_risk,3,P3 否定与跨症状干扰,家属说刚才出现开始没有咯血，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.021,
HR0067,high_risk,3,P3 否定与跨症状干扰,我现在主要是开始没有便血，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.018,
HR0068,high_risk,3,P3 否定与跨症状干扰,症状记录为开始没有晕厥，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.018,
HR0069,high_risk,3,P3 否定与跨症状干扰,今天突然有开始没有意识不清，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.018,
HR0070,high_risk,3,P3 否定与跨症状干扰,目前最明显的是开始没有大出血，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.018,
HR0071,high_risk,3,P3 否定与跨症状干扰,刚刚发现开始没有胸痛，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.017,
HR0072,high_risk,3,P3 否定与跨症状干扰,需要分诊，表现为开始没有呼吸困难，不过后来明确出现呼吸困难。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,呼吸困难,呼吸困难,,,,,,False,,0.022,
HR0073,high_risk,4,P4 错别字与未登录改写,患者描述：突然喘不上来气。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | resp-copd-medlineplus | card-heart-failure-medlineplus,resp-household-air-pollution#2 | resp-copd-medlineplus#1 | card-heart-failure-medlineplus#2,呼吸内科 | 呼吸内科 | 心血管内科,0.6152 | 0.5883 | 0.5842,False,,773.728,
HR0074,high_risk,4,P4 错别字与未登录改写,家属说刚才出现感觉吸不进空气。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | resp-copd-overview | card-heart-failure-medlineplus,resp-household-air-pollution#2 | resp-copd-overview#1 | card-heart-failure-medlineplus#2,呼吸内科 | 呼吸内科 | 心血管内科,0.5819 | 0.5499 | 0.5402,False,,796.145,
HR0075,high_risk,4,P4 错别字与未登录改写,我现在主要是喘得说不出整句。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | resp-asthma-medlineplus | card-heart-failure-medlineplus,resp-household-air-pollution#2 | resp-asthma-medlineplus#1 | card-heart-failure-medlineplus#2,呼吸内科 | 呼吸内科 | 心血管内科,0.5524 | 0.5355 | 0.5253,False,,610.531,
HR0076,high_risk,4,P4 错别字与未登录改写,症状记录为呼吸很费劲。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | resp-asthma-overview | resp-copd-overview,resp-household-air-pollution#2 | resp-asthma-overview#1 | resp-copd-overview#1,呼吸内科 | 呼吸内科 | 呼吸内科,0.6358 | 0.6186 | 0.6174,False,,418.928,
HR0077,high_risk,4,P4 错别字与未登录改写,今天突然有突然喘不上来气。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | card-heart-failure-medlineplus | resp-copd-medlineplus,resp-household-air-pollution#2 | card-heart-failure-medlineplus#2 | resp-copd-medlineplus#1,呼吸内科 | 心血管内科 | 呼吸内科,0.602 | 0.5782 | 0.5752,False,,897.618,
HR0078,high_risk,4,P4 错别字与未登录改写,目前最明显的是感觉吸不进空气。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | resp-copd-overview | resp-ambient-air-pollution,resp-household-air-pollution#2 | resp-copd-overview#1 | resp-ambient-air-pollution#1,呼吸内科 | 呼吸内科 | 呼吸内科,0.5931 | 0.5788 | 0.5722,False,,695.018,
HR0079,high_risk,4,P4 错别字与未登录改写,刚刚发现喘得说不出整句。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | resp-copd-nhlbi | resp-asthma-nhs,resp-household-air-pollution#2 | resp-copd-nhlbi#1 | resp-asthma-nhs#0,呼吸内科 | 呼吸内科 | 呼吸内科,0.5261 | 0.5139 | 0.5093,False,,505.903,
HR0080,high_risk,4,P4 错别字与未登录改写,需要分诊，表现为呼吸很费劲。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,呼吸困难,,,resp-household-air-pollution | resp-copd-medlineplus | resp-copd-overview,resp-household-air-pollution#2 | resp-copd-medlineplus#1 | resp-copd-overview#1,呼吸内科 | 呼吸内科 | 呼吸内科,0.6645 | 0.6326 | 0.6312,False,,283.733,
HR0081,high_risk,0,P0 规范表达,患者描述：气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.013,
HR0082,high_risk,0,P0 规范表达,家属说刚才出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0083,high_risk,0,P0 规范表达,我现在主要是气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0084,high_risk,0,P0 规范表达,症状记录为气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0085,high_risk,0,P0 规范表达,今天突然有气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.013,
HR0086,high_risk,0,P0 规范表达,目前最明显的是气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.011,
HR0087,high_risk,0,P0 规范表达,刚刚发现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0088,high_risk,0,P0 规范表达,需要分诊，表现为气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.014,
HR0089,high_risk,1,P1 口语与同义表达,患者描述：气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0090,high_risk,1,P1 口语与同义表达,家属说刚才出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0091,high_risk,1,P1 口语与同义表达,我现在主要是气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.011,
HR0092,high_risk,1,P1 口语与同义表达,症状记录为气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0093,high_risk,1,P1 口语与同义表达,今天突然有气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0094,high_risk,1,P1 口语与同义表达,目前最明显的是气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.012,
HR0095,high_risk,1,P1 口语与同义表达,刚刚发现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.011,
HR0096,high_risk,1,P1 口语与同义表达,需要分诊，表现为气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.014,
HR0097,high_risk,2,P2 组合与背景干扰,患者描述：气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.015,
HR0098,high_risk,2,P2 组合与背景干扰,家属说刚才出现气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.015,
HR0099,high_risk,2,P2 组合与背景干扰,我现在主要是气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.016,
HR0100,high_risk,2,P2 组合与背景干扰,症状记录为气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.015,
HR0101,high_risk,2,P2 组合与背景干扰,今天突然有气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.015,
HR0102,high_risk,2,P2 组合与背景干扰,目前最明显的是气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.015,
HR0103,high_risk,2,P2 组合与背景干扰,刚刚发现气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.014,
HR0104,high_risk,2,P2 组合与背景干扰,需要分诊，表现为气促，同时伴有出汗和乏力。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.018,
HR0105,high_risk,3,P3 否定与跨症状干扰,患者描述：开始没有咯血，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.019,
HR0106,high_risk,3,P3 否定与跨症状干扰,家属说刚才出现开始没有便血，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.017,
HR0107,high_risk,3,P3 否定与跨症状干扰,我现在主要是开始没有晕厥，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.018,
HR0108,high_risk,3,P3 否定与跨症状干扰,症状记录为开始没有意识不清，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.018,
HR0109,high_risk,3,P3 否定与跨症状干扰,今天突然有开始没有大出血，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.018,
HR0110,high_risk,3,P3 否定与跨症状干扰,目前最明显的是开始没有胸痛，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.018,
HR0111,high_risk,3,P3 否定与跨症状干扰,刚刚发现开始没有呼吸困难，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.018,
HR0112,high_risk,3,P3 否定与跨症状干扰,需要分诊，表现为开始没有气促，不过后来明确出现气促。,high_risk_fast_path,high_risk_fast_path,呼吸内科,呼吸内科,高,高,气促,气促,,,,,,False,,0.02,
HR0113,high_risk,4,P4 错别字与未登录改写,患者描述：呼吸特别急。,high_risk_fast_path,evidence_triage,呼吸内科,呼吸内科,高,中,气促,,,resp-household-air-pollution | resp-tuberculosis-who | resp-copd-medlineplus,resp-household-air-pollution#2 | resp-tuberculosis-who#2 | resp-copd-medlineplus#1,呼吸内科 | 呼吸内科 | 呼吸内科,0.6914 | 0.6206 | 0.6153,False,,1074.301,
